,dir,time,mass,a,e,i,O,o,M,diskmass,alpha,simID,radius
190,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,4.056944e-06,0.19054,0.161581,6.73058,201.81457,351.95533,75.39593,-999999,-999999,2,0.984512199524
226,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,1.607635e-06,0.36065,0.026699,2.62148,313.7326,308.01247,52.50336,-999999,-999999,2,0.658314570028
231,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,2.90948e-06,0.50877,0.093152,1.70854,7.0036,165.21102,177.59952,-999999,-999999,2,0.852011796427
249,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,1.778877e-06,0.8389,0.062835,3.52853,330.81838,354.08752,358.20394,-999999,-999999,2,0.687932526759
244,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,2.03494e-07,1.23657,0.194521,8.60224,130.25532,228.0398,111.78922,-999999,-999999,2,0.268013711639
241,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,3.379609e-07,1.31433,0.18433,13.44824,42.3991,274.24648,193.26978,-999999,-999999,2,0.334153549052
227,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,1.226386e-07,1.36304,0.282954,12.87127,208.58588,78.80951,199.22889,-999999,-999999,2,0.215049134099
245,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run03,9999999.99977,2.842325e-07,1.48375,0.393548,7.23323,99.70233,219.17134,281.07408,-999999,-999999,2,0.309922844844
254,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,4.778979e-06,0.03597,0.122538,4.25685,173.9898,100.61803,9.4203,-999999,-999999,3,1.05718220716
261,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,7.039589e-06,0.06013,0.036911,4.20586,218.20117,45.09353,262.11047,-999999,-999999,3,1.5158679716
272,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,6.837887e-06,0.10571,0.040925,5.49975,290.37768,147.94032,159.63537,-999999,-999999,3,1.71711252354
276,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,3.630629e-06,0.18345,0.049803,4.34379,48.79881,49.26634,301.6436,-999999,-999999,3,0.938117263052
289,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,2.127282e-06,0.29847,0.119202,6.2176,79.24066,112.07124,126.0984,-999999,-999999,3,0.743565764579
307,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,2.071424e-06,0.48459,0.138523,6.98839,116.08927,158.12142,336.0935,-999999,-999999,3,0.735012984218
326,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,1.533237e-06,0.55127,0.207939,7.96614,290.72355,221.83234,164.25048,-999999,-999999,3,0.644891184606
328,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,1.585661e-07,0.94972,0.112487,22.55056,170.36676,124.88038,101.62565,-999999,-999999,3,0.240465134355
327,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,9.845839e-07,1.11499,0.094808,3.13207,10.59695,78.15462,237.98146,-999999,-999999,3,0.531928368975
310,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,1.487279e-07,1.14077,0.42251,14.3131,15.01977,324.18626,98.70083,-999999,-999999,3,0.233860771036
324,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,2.872832e-07,1.17368,0.232111,11.21329,141.39292,247.66674,180.92048,-999999,-999999,3,0.311364759429
322,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run04,9999999.99977,4.950749e-07,1.38884,0.352839,0.94096,326.03345,99.24543,279.81902,-999999,-999999,3,0.394489065273
334,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,2.416979e-06,0.03318,0.033523,1.55563,194.30423,352.65017,147.00718,-999999,-999999,4,0.786008296063
336,/Users/johncmoriarty/AeroFS/NBody/ParameterizedInsideOut/1.5/40/10/Run05,9999999.99977,3.861877e-06,0.04269,0.035051,0.55088,74.61326,271.40739,316.93554,-999999,-999999,4,0.963643738904
