,dir,time,mass,a,e,i,O,o,M,diskmass,alpha,simID,radius
292,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run05,10000000.0,1.887465e-06,0.19248,0.188923,2.17186,208.1834,269.95337,14.28336,-999999,-999999,4,0.70588523765
304,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run05,10000000.0,2.684184e-06,0.31359,0.113472,6.31565,287.6028,243.67374,24.68471,-999999,-999999,4,0.82267229472
299,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run05,10000000.0,8.217049e-06,0.53441,0.065014,0.80581,82.3716,73.48219,10.68186,-999999,-999999,4,1.62934321123
307,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run05,10000000.0,2.755051e-06,0.85768,0.093082,1.79396,5.38015,248.8174,135.70331,-999999,-999999,4,0.832046240801
306,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run05,10000000.0,2.962507e-06,1.19136,0.063569,0.18421,266.2115,82.52399,319.35432,-999999,-999999,4,0.858728835597
345,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run06,10000000.0,1.198715e-06,0.09518,0.166863,4.73618,127.29984,213.7672,96.2999,-999999,-999999,5,0.579443466375
361,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run06,10000000.0,9.420864e-07,0.19883,0.205576,13.41174,136.93641,358.11811,344.15452,-999999,-999999,5,0.521821357748
367,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run06,10000000.0,3.605887e-06,0.30486,0.058239,1.99852,35.64001,193.79676,60.70244,-999999,-999999,5,0.935332291164
359,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run06,10000000.0,3.04961e-06,0.45659,0.096166,1.05181,160.98944,59.50956,177.11979,-999999,-999999,5,0.86961645695
371,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run06,10000000.0,5.709398e-06,0.619,0.051057,3.51112,323.65745,147.27685,290.41028,-999999,-999999,5,1.14219186059
372,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run06,10000000.0,4.111996e-06,0.94747,0.035089,3.21858,204.20215,267.6332,7.89797,-999999,-999999,5,0.990298625344
370,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run06,10000000.0,2.231913e-06,1.17596,0.005656,2.44445,295.50597,264.83696,200.58606,-999999,-999999,5,0.759251324225
414,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run07,10000000.0,1.251261e-06,0.10042,0.087641,7.66061,230.16578,115.4169,15.03137,-999999,-999999,6,0.59035320611
419,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run07,10000000.0,2.289535e-06,0.22023,0.117628,5.38063,256.24049,169.96619,337.17675,-999999,-999999,6,0.767712500996
428,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run07,10000000.0,1.374674e-06,0.32466,0.047801,6.48106,267.89687,50.5675,284.26404,-999999,-999999,6,0.614997829158
432,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run07,10000000.0,5.116303e-06,0.44004,0.054847,1.41525,136.65874,140.4331,170.14416,-999999,-999999,6,1.08900180415
435,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run07,10000000.0,5.20989e-06,0.73116,0.058146,1.21558,93.45761,160.01369,128.98008,-999999,-999999,6,1.097618295
436,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run07,10000000.0,4.705988e-06,1.03846,0.04439,2.87673,18.21677,47.78384,233.49374,-999999,-999999,6,1.05013135242
468,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run08,10000000.0,7.745221e-07,0.08453,0.179663,10.43609,92.74832,25.55955,92.13339,-999999,-999999,7,0.479226230169
483,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run08,10000000.0,1.053097e-06,0.1714,0.319633,12.71844,231.98752,296.02964,214.47317,-999999,-999999,7,0.547716226638
487,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run08,10000000.0,2.4052e-06,0.25171,0.098246,6.04798,237.88217,324.87819,221.90764,-999999,-999999,7,0.784340533987
495,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run08,10000000.0,3.279103e-06,0.40648,0.059347,3.7118,265.01782,202.846,328.42382,-999999,-999999,7,0.897486817693
497,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run08,10000000.0,7.979891e-06,0.63975,0.033367,2.653,78.60009,284.16272,115.1687,-999999,-999999,7,1.31319085122
499,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run08,10000000.0,4.739385e-06,1.09492,0.086734,0.79774,233.78962,73.78295,175.99596,-999999,-999999,7,1.05336508242
520,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run09,10000000.0,3.877011e-07,0.06532,0.399357,9.05396,333.50549,62.22939,125.02907,-999999,-999999,8,0.354709169281
538,/Users/johncmoriarty/AeroFS/NBody/InitialGrid/0.5/10/Run09,10000000.0,9.650798e-07,0.13097,0.100458,11.66541,110.53657,290.10399,159.46209,-999999,-999999,8,0.527321049193
